,WeekPeriod,StartOfWeek,EndOfWeek,List_of_Sites_SHS_Portfolio,Facility_Type,PA,Facility_CD,Report_Status,Late_Submission_FLG
0,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,105 STREET SAFE HAVEN,Safe Haven,Brenita,M011,Y,Y
1,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,N,N
2,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,Y
3,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,BronxWorks Outreach Team,Outreach Team ,Elena,,N,N
4,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,N,N
5,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,MAINCHANCE/GCN DROP-IN CENTER,Drop-in Center,Mohammed,DI02,N,N
6,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,PROSPECT STABILIZATION BEDS PROGRAM,Stabilization,Maggie,XS05,Y,Y
7,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,PYRAMID SAFE HAVEN,Safe Haven,Brenita,X015,N,N
8,2025-01-25 - 2025-01-31,2025-01-25,2025-01-31,WESTCHESTER AVENUE SAFE HAVEN,Safe Haven,Brenita,X730,N,N
9,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,Breaking Ground Queens Outreach Team,Outreach Team ,Elena,,N,N
10,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,CARE FOUND HERE MORRIS AVENUE,Safe Haven,Ernest,XS07,N,N
11,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,EASTSIDE STABILIZATION,Stabilization,Maggie,MSH1,N,N
12,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,LONG ACRE STABILIZATION -URBAN PATHWAY,Stabilization,Cindy,M095,N,N
13,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,MARMION AVENUE SAFE HAVEN,Safe Haven,Ernest,X179,N,N
14,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,N,N
15,2025-02-01 - 2025-02-07,2025-02-01,2025-02-07,UNION HALL DROP IN,Drop-in Center,Cindy,DI09,N,N
16,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,9TH AVENUE DROP-IN CENTER,Drop-in Center,Cindy,DI10,N,N
17,2025-02-08 - 2025-02-14,2025-02-08,2025-02-14,THE ANDREWS SAFE HAVEN,Safe Haven,Mohammed,H074,N,N
18,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,BRC BOWERY SAFE HAVEN,Safe Haven,Mohammed,M034,N,N
19,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,BRC Outreach Team,Outreach Team ,Elena,,N,N
20,2025-02-15 - 2025-02-21,2025-02-15,2025-02-21,BREAKING GROUND SEAFARERS,Safe Haven,Mohammed,M019,Y,Y
