,WeekPeriod,StartOfWeek,EndOfWeek,List_of_Sites_SHS_Portfolio,Facility_Type,PA,Facility_CD,Report_Status,Late_Submission_FLG
0,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,A,Fruit Pie,Staff 1,FPA,Y,Y
248,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,B,Fruit Pie,Staff 1,FPB,N,N
249,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,C,Gummy Bears,Staff 6,GaC,N,N
207,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,D,Fruit Pie,Staff 1,FPD,N,N
1,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,E,Fruit Pie,Staff 3,FPE,N,N
476,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,F,Fruit Pie,Staff 3,FPF,N,N
123,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,G,Candy Canes,Staff 2,CnG,N,N
165,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,H,Candy Canes,Staff 2,CnH,N,N
477,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,I,Candy Canes,Staff 2,CnI,N,N
2,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,J,Fruit Pie,Staff 3,FPJ,Y,Y
250,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,K,Fruit Pie,Staff 3,FPK,N,N
124,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,L,Fruit Pie,Staff 1,FPL,N,N
3,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,M,Candy Canes,Staff 2,CnM,N,N
4,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,N,Fruit Pie,Staff 4,FPN,N,N
83,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,O,Fruit Pie,Staff 3,FPO,N,N
251,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,P,Fruit Pie,Staff 4,FPP,N,N
252,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,Q,Fruit Pie,Staff 4,FPQ,N,N
42,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,R,Fruit Pie,Staff 3,FPR,N,N
253,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,S,Fruit Pie,Staff 1,FPS,N,N
166,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,T,Fruit Pie,Staff 1,FPT,N,N
254,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,U,Fruit Pie,Staff 1,FPU,N,N
478,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,V,Cookie Dough,Staff 5,CuV,N,N
255,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,W,Fruit Pie,Staff 1,FPW,N,N
256,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,X,Cookie Dough,Staff 5,CuX,N,N
208,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,Y,Gummy Bears,Staff 6,GaY,N,N
257,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,Z,Cookie Dough,Staff 4,CuZ,N,N
479,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AA,Cookie Dough,Staff 6,CuAA,N,N
5,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AB,Gummy Bears,Staff 3,GaAB,N,N
125,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AC,Fruit Pie,Staff 4,FPAC,N,N
209,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AD,Fruit Pie,Staff 3,FPAD,N,N
126,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AE,Candy Canes,Staff 2,CnAE,Y,Y
127,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AF,Fruit Pie,Staff 4,FPAF,N,N
258,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AG,Gummy Bears,Staff 6,GaAG,N,N
43,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AH,Cookie Dough,Staff 5,CuAH,N,N
167,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AI,Cookie Dough,Staff 5,CuAI,N,N
44,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AJ,Gummy Bears,Staff 6,GaAJ,N,N
259,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AK,Fruit Pie,Staff 6,FPAK,N,N
84,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AL,Gummy Bears,Staff 6,GaAL,N,N
45,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AM,Candy Canes,Staff 2,CnAM,N,N
6,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AN,Cookie Dough,Staff 5,CuAN,Y,Y
7,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AO,Fruit Pie,Staff 1,FPAO,N,N
128,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AP,Gummy Bears,Staff 6,GaAP,N,N
480,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AQ,Cookie Dough,Staff 1,CuAQ,N,N
129,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AR,Fruit Pie,Staff 3,FPAR,N,N
210,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AS,Fruit Pie,Staff 3,FPAS,N,N
130,2025-01-25 - 2025-01-31,1/25/2025,1/31/2025,AT,Gummy Bears,Staff 6,GaAT,N,N
